PRJNA385247,ID,PZA DST
SAMN06920020,MT_2910,S
SAMN06920021,MT_2940,S
SAMN06920022,MT_11618,S
SAMN06920023,MT13389,S
SAMN06920024,14MT17278,S
SAMN06920025,14MT17295,S
SAMN06920026,14MT21050,S
SAMN06920027,MT_2679,S
SAMN06920028,MT_9961,S
SAMN06920029,MT_9964,S
SAMN06920030,15MT1215,S
SAMN06920031,15MT1220,S
SAMN06920032,15MT1994,S
SAMN06920033,MT_17449,S
SAMN06920034,15MT2010,R
SAMN06920035,MT_17228,R
SAMN06920036,MT_2908,R
SAMN06920037,MT_2933,S
SAMN06920038,MT_2948,R
SAMN06920039,MT_2953,R
SAMN06920040,MT_2964,S
SAMN06920041,MT_11613,R
SAMN06920042,MT_11616,S
SAMN06920043,MT_11620,R
SAMN06920044,MT_11622,S
SAMN06920045,MT_11623,R
SAMN06920046,MT_11629,R
SAMN06920047,MT_13359,R
SAMN06920048,MT_13360,R
SAMN06920049,MT_13362,S
SAMN06920050,MT_13364,R
SAMN06920051,MT_13365,R
SAMN06920052,MT_13366,R
SAMN06920053,MT_13367,R
SAMN06920054,MT_13373,R
SAMN06920055,MT_13384,R
SAMN06920056,MT_14644,R
SAMN06920057,MT_14645,S
SAMN06920058,MT_14654,S
SAMN06920059,MT_14657,R
SAMN06920060,MT_16113,S
SAMN06920061,14MT16115,R
SAMN06920062,MT_16118,S
SAMN06920063,MT_17270,R
SAMN06920064,MT_17284,R
SAMN06920065,MT_17445,S
SAMN06920066,14MT20601,R
SAMN06920067,14MT20605,S
SAMN06920068,14MT20823,R
SAMN06920069,14MT21035,S
SAMN06920070,MT_2682,S
SAMN06920071,MT_2684,R
SAMN06920072,MT_6103,R
SAMN06920073,MT6104,R
SAMN06920074,MT_6106,S
SAMN06920075,MT6107,R
SAMN06920076,MT_6110,S
SAMN06920077,MT_6111,R
SAMN06920078,MT_960,S
SAMN06920079,MT_961,R
SAMN06920080,MT962,S
SAMN06920081,MT_964,S
SAMN06920082,MT_9902,R
SAMN06920083,MT_9903,S
SAMN06920084,MT_9904,S
SAMN06920085,MT_9913,R
SAMN06920086,MT_9914,R
SAMN06920087,MT9915,R
SAMN06920088,MT_9917,R
SAMN06920089,MT_9927,R
SAMN06920090,MT_9928,R
SAMN06920091,MT_9929,R
SAMN06920092,MT_9930,R
SAMN06920093,MT_9935,R
SAMN06920094,MT_9936,R
SAMN06920095,MT_9963,R
SAMN06920096,MT_9960,R
SAMN06920097,14MT21042,R
SAMN06920098,14MT20602,R
SAMN06920099,14MT20852,R
SAMN06920100,14MT20854,S
SAMN06920101,15MT1232,R
SAMN06920102,15MT1218,S
SAMN06920103,15MT1217,R
SAMN06920104,15MT1210,R
SAMN06920105,15MT1238,R
SAMN06920106,15MT3222,R
SAMN06920107,15MT3241,R
SAMN06920108,15MT1198,R
SAMN06920109,15MT3224,S
SAMN06920110,15MT1997,R
SAMN06920111,15MT2009,S
SAMN06920112,15MT3227,S
SAMN06920113,15MT4695,R
SAMN06920114,15MT3238,S
SAMN06920115,15MT3242,S
SAMN06920116,15MT3221,S
SAMN06920117,15MT4694,R
SAMN06920118,15MT1235,R
SAMN06920119,14MT19406,S